city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Rahim Yar Khan,41.56,31,5.99,Clouds,few clouds,2025-07-08,15:27:22
Kasur,30.71,59,1.95,Clouds,overcast clouds,2025-07-08,15:27:27
Kamoke,28.44,68,5.38,Clouds,overcast clouds,2025-07-08,15:29:04
Kot Addu,40.87,32,5.76,Clouds,overcast clouds,2025-07-08,15:29:04
Khanpur,42.21,30,6.99,Clouds,few clouds,2025-07-08,15:29:04
Bahawalnagar,38.3,35,4.87,Clouds,overcast clouds,2025-07-08,15:29:04
Kotli,28.02,71,0.56,Clouds,overcast clouds,2025-07-08,15:29:04
Jhelum,31.69,53,2.9,Clouds,overcast clouds,2025-07-08,15:29:09
Kamalia,41.16,28,3.46,Clouds,overcast clouds,2025-07-08,15:29:09
Gwadar,30.19,74,5.27,Clouds,scattered clouds,2025-07-08,15:29:11
Gujrat,28.36,60,3.43,Clouds,overcast clouds,2025-07-08,15:29:11
Gojra,39.62,32,0.92,Clouds,overcast clouds,2025-07-08,15:29:11
Dera Ismail Khan,43.64,27,4.26,Clouds,few clouds,2025-07-08,15:29:11
Harappa,41.04,28,4.91,Clouds,overcast clouds,2025-07-08,15:29:11
Jaranwala,33.69,45,0.96,Clouds,overcast clouds,2025-07-08,15:29:13
Chishtian,40.05,32,6.72,Clouds,overcast clouds,2025-07-08,15:29:01
Jhang Sadar,41.35,30,2.58,Clouds,overcast clouds,2025-07-08,15:29:16
Khangarh,42.96,28,5.67,Clouds,overcast clouds,2025-07-08,15:24:32
Khairpur,41.08,32,6.05,Clouds,few clouds,2025-07-08,15:29:18
Chiniot,37.66,35,1.26,Clouds,overcast clouds,2025-07-08,15:27:41
Tordher,34.24,48,2.48,Clouds,overcast clouds,2025-07-08,15:29:19
Chaman,40.28,10,5.46,Clear,clear sky,2025-07-08,15:25:03
Tando Adam,40.49,33,4.76,Clouds,scattered clouds,2025-07-08,15:29:19
Shahkot,33.57,45,1.35,Clouds,overcast clouds,2025-07-08,15:29:19
Burewala,40.47,31,5.41,Clouds,overcast clouds,2025-07-08,15:24:57
Wazirabad,28.3,61,3.74,Clouds,overcast clouds,2025-07-08,15:29:20
Saddiqabad,40.56,33,5.35,Clouds,scattered clouds,2025-07-08,15:29:20
Muzaffargarh,41.8,30,6.77,Clouds,overcast clouds,2025-07-08,15:27:36
Okara,37.56,35,3.59,Clouds,broken clouds,2025-07-08,15:27:30
Turbat,40.12,34,6.63,Clouds,few clouds,2025-07-08,15:29:23
Battagram City,28.19,72,2.4,Clouds,overcast clouds,2025-07-08,15:29:27
Muridke,29.05,66,2.86,Clouds,overcast clouds,2025-07-08,15:29:28
Badin,36.37,45,6.64,Clouds,overcast clouds,2025-07-08,15:29:30
Ahmedpur East,42.21,29,7.86,Clouds,overcast clouds,2025-07-08,15:29:31
Moro,39.29,35,6.15,Clouds,broken clouds,2025-07-08,15:29:31
Bahawalpur,38.79,35,5.43,Clouds,overcast clouds,2025-07-08,15:29:31
Bahawalpur,40.85,32,6.67,Clouds,overcast clouds,2025-07-08,15:23:33
Mianwali,39.55,35,3.94,Clouds,broken clouds,2025-07-08,15:29:33
Mian Channu,41.83,29,5.96,Clouds,overcast clouds,2025-07-08,15:29:34
Matli,36.6,44,5.74,Clouds,broken clouds,2025-07-08,15:29:35
Mailsi,40.49,33,6.26,Rain,light rain,2025-07-08,15:29:35
Larkana,41.53,31,5.55,Clouds,broken clouds,2025-07-08,15:29:36
Malir Cantonment,34.03,52,6.14,Clouds,scattered clouds,2025-07-08,15:29:36
